"","id","date","u","v","u.se","v.se","x.se","y.se","s","s.se","geometry","dist_to_next_m","dis_to_next_km","timetilnext","lon","lat"
"52","181624",2022-08-23,-0.323133327207988,0.288239823238037,10.7018890556709,10.7019065490635,256.842364599717,256.84278443628,0.433016962247484,NA,c(-109.625978339269, 26.7501646492689),9294.21498824739,9.29421498824739,24,-109.625978339269,26.7501646492689
"53","181624",2022-08-24,-0.0041423484312188,0.00367671827100664,8.20717637689753,8.20718374447353,327.612375798931,327.613133640442,0.00553870992097037,NA,c(-109.626871411644, 26.7508763006659),118.850861104716,0.118850861104716,24,-109.626871411644,26.7508763006659
"54","181624",2022-08-25,0.161511717178389,-0.143732995191564,8.46748515612655,8.46749462602698,241.801935507541,241.802256496734,0.216206403003482,NA,c(-109.592050185056, 26.7230525447423),4639.99263545801,4.63999263545801,24,-109.592050185056,26.7230525447423
"55","181624",2022-08-26,0.173828869620835,-0.153989317149674,10.0749640377376,10.0749774121325,0.00429217703545103,0.00429217954232961,0.232226582710608,NA,c(-109.554573433757, 26.6932357451465),4985.00872462002,4.98500872462002,24,-109.554573433757,26.6932357451465
"56","181624",2022-08-27,0.0328073341838699,-0.0270906601981839,6.60074583130194,6.60074211674839,158.416066411696,158.415977263443,0.0425489332814755,NA,c(-109.547499962731, 26.6879891068726),913.334557525079,0.913334557525079,24,-109.547499962731,26.6879891068726
"57","181624",2022-08-28,-0.0312481199121376,0.0296016973735801,6.60059303852803,6.60058932406048,0.00373528599278214,0.00373528558337799,0.0430430654827508,NA,c(-109.554236922025, 26.693721733651),924.274461914825,0.924274461914825,24,-109.554236922025,26.693721733651
"58","181624",2022-08-29,-0.0183357110140823,0.0160861303920207,11.5799395888689,11.5799319607592,277.915333498513,277.915150425998,0.0243920561438314,NA,c(-109.558190054114, 26.6968368611133),523.649336261411,0.523649336261411,24,-109.558190054114,26.6968368611133
"59","181624",2022-08-30,-0.00807883139037472,0.00556366448399051,11.2280020643688,11.2279445006913,454.20458997003,454.202565437491,0.00980927515765736,NA,c(-109.559931815166, 26.6979142509383),210.45385650526,0.21045385650526,24,-109.559931815166,26.6979142509383
"60","181624",2022-08-31,-0.000477511786973607,-0.00196566569833107,9.95411841151831,9.95410720747747,522.957818417072,522.954751246789,0.00202283443341231,NA,c(-109.560034764639, 26.6975336058285),43.5439089472983,0.0435439089472983,24,-109.560034764639,26.6975336058285
"61","181624",2022-09-01,0.00446824779612103,-0.00650186015494403,9.80790791540854,9.80789552837346,468.633660932878,468.631003420286,0.00788919665409701,NA,c(-109.559071429769, 26.6962745314731),169.585035890005,0.169585035890005,24,-109.559071429769,26.6962745314731
