,Long,Lat,Jdate,mean(tw),mean(ws),max(ws)
79,-157.23,58.7,229,-0.124388495,4.909953749,7.59197594
80,-157.23,58.7,230,0.215302116,4.405297404,7.202085227
81,-157.23,58.7,231,0.258455869,5.586217104,6.873364222
82,-157.23,58.7,232,0.160435457,5.22930738,6.252610059
83,-157.23,58.7,233,-0.648593219,3.142859624,5.977081983
84,-157.23,58.7,234,-0.879865586,6.041634536,7.787691816
85,-157.23,58.7,235,1.881106516,5.557889073,7.07704689
86,-157.23,58.7,236,0.068174117,3.746333982,5.926300875
87,-157.23,58.7,237,0.898555055,7.772867875,10.01135006
88,-157.23,58.7,238,0.10890435,8.711592381,10.52889522
89,-157.23,58.7,239,-0.833064478,3.196237235,6.080932826
90,-157.23,58.7,240,-0.505548576,4.044524465,5.588572861
91,-157.23,58.7,241,-0.665072847,5.053275641,6.370812913
92,-157.23,58.7,242,-0.481069196,5.35974072,8.71165534
93,-157.23,58.7,243,-0.785005182,6.780806477,9.179288322
94,-156.98,58.7,151,1.905454248,5.24149394,6.909578923
95,-156.98,58.7,152,-0.298306568,2.631422292,7.118739385
96,-156.98,58.7,153,-0.060578989,2.483785745,6.642008729
97,-156.98,58.7,154,-0.220041874,2.400952952,6.567247879
98,-156.98,58.7,155,-0.762633449,3.249912152,5.404398126
99,-156.98,58.7,156,0.326187431,3.141667814,4.271183611
100,-156.98,58.7,157,-0.314483859,2.7979581,4.966771393
101,-156.98,58.7,158,0.357396653,2.678723292,4.73995694
102,-156.98,58.7,159,-0.607683405,4.123913106,6.612402907
103,-156.98,58.7,160,-0.092777894,3.158404347,4.268942094
104,-156.98,58.7,161,-0.113433302,2.413647981,4.102156994
105,-156.98,58.7,162,0.282274924,3.924446292,5.945608606
106,-156.98,58.7,163,-0.383435254,4.685387394,6.757869232
107,-156.98,58.7,164,0.608161677,3.721937076,5.887388342
108,-156.98,58.7,165,0.203416413,1.553050068,3.970564335
109,-156.98,58.7,166,-0.572430199,2.615314272,4.345568448
110,-156.98,58.7,167,1.191623672,5.299654226,8.69722872
111,-156.98,58.7,168,0.314352435,5.97089781,8.31496765
112,-156.98,58.7,169,-0.090335234,3.093999431,5.446464522
113,-156.98,58.7,170,0.157970581,1.917373116,3.281346761
114,-156.98,58.7,171,0.003920381,4.20440231,8.705193453
115,-156.98,58.7,172,1.550065149,7.34994762,9.63795681
116,-156.98,58.7,173,0.095132633,6.698133995,9.675930933
117,-156.98,58.7,174,0.736251334,3.238677259,7.728636623
118,-156.98,58.7,175,0.107504251,2.528533551,5.941236695
119,-156.98,58.7,176,-0.462384769,9.876188127,13.68595847
120,-156.98,58.7,177,2.497230483,11.96372161,14.21078425
121,-156.98,58.7,178,1.11639243,7.473057553,10.67102258
122,-156.98,58.7,179,0.139276356,3.459061092,6.131461143
123,-156.98,58.7,180,-0.382775158,3.198330379,5.967979426
124,-156.98,58.7,181,1.089343217,6.715462358,12.23626501
125,-156.98,58.7,182,1.115883269,5.740220115,9.673542165
126,-156.98,58.7,183,0.26346673,4.153794212,6.041928989
127,-156.98,58.7,184,-0.657789767,2.649594544,6.342610027
128,-156.98,58.7,185,0.656490322,6.149825154,7.017442771
129,-156.98,58.7,186,0.00366149,3.982026604,6.334019232
130,-156.98,58.7,187,0.931163026,4.176113193,6.027935607
131,-156.98,58.7,188,0.137968978,2.517857111,3.905169918
132,-156.98,58.7,189,-0.131597688,3.44957397,6.108878217
133,-156.98,58.7,190,0.628541344,6.869511369,9.269822093
134,-156.98,58.7,191,-0.191377266,4.912255283,8.881981606
135,-156.98,58.7,192,0.895089672,6.763330645,8.530845192
136,-156.98,58.7,193,0.524096584,2.741059733,4.964217231
137,-156.98,58.7,194,0.102655143,3.161374918,5.547697148
138,-156.98,58.7,195,0.842717673,5.524197187,7.400584463
139,-156.98,58.7,196,-0.765377397,5.261898556,7.357100624
