,Long,Lat,Jdate,mean(tw),mean(ws),max(ws)
92,-151.48,61.01,242,0.196839612,3.263503092,5.744087546
93,-151.48,61.01,243,0.349083604,3.641781329,4.740151536
94,-150.98,61.01,151,-0.600799696,2.056452049,2.681451331
95,-150.98,61.01,152,0.337378326,2.921813197,5.425845967
96,-150.98,61.01,153,-0.366025062,1.980693528,3.589514817
97,-150.98,61.01,154,0.002697707,1.743984501,3.778823618
98,-150.98,61.01,155,0.126941666,1.566825534,3.251932868
99,-150.98,61.01,156,-0.495164483,2.436297142,4.873444299
100,-150.98,61.01,157,0.036314315,2.551123439,4.252249839
101,-150.98,61.01,158,0.301028155,4.672047769,6.026842751
102,-150.98,61.01,159,-0.177121101,1.404318448,2.431421582
103,-150.98,61.01,160,-0.276947057,2.821370346,4.698623731
104,-150.98,61.01,161,0.062835723,2.288800388,4.605871669
105,-150.98,61.01,162,-0.182343949,3.928492371,5.078389658
106,-150.98,61.01,163,-0.386874879,2.207481979,3.896963703
107,-150.98,61.01,164,-0.39455599,3.532353274,5.648540635
108,-150.98,61.01,165,0.605858782,2.485340743,5.670150812
109,-150.98,61.01,166,0.475188611,3.657403619,6.194736024
110,-150.98,61.01,167,-0.90329014,5.042078024,7.889915626
111,-150.98,61.01,168,0.347528638,4.599811415,6.533715748
112,-150.98,61.01,169,0.240358161,1.626544235,2.934143706
113,-150.98,61.01,170,-0.13687387,2.453166572,4.410118234
114,-150.98,61.01,171,0.245570726,3.591213466,7.829333584
115,-150.98,61.01,172,0.830048272,4.315024002,6.604360434
116,-150.98,61.01,173,-0.353366024,4.257255953,6.431212157
117,-150.98,61.01,174,-0.066802928,3.462613876,6.176060377
118,-150.98,61.01,175,0.286721442,5.689527562,7.781821523
119,-150.98,61.01,176,-0.182536953,3.886487927,6.783686613
120,-150.98,61.01,177,-0.758271408,3.916079225,7.13268611
121,-150.98,61.01,178,0.922570277,4.347806631,6.653967028
122,-150.98,61.01,179,-0.003621086,3.099277425,5.211355527
123,-150.98,61.01,180,0.273747714,4.042486193,7.15133444
124,-150.98,61.01,181,0.719963527,5.16871385,7.241952125
125,-150.98,61.01,182,1.487982226,3.311149696,5.848270352
126,-150.98,61.01,183,0.096571459,1.968932894,4.852876248
127,-150.98,61.01,184,-0.676287163,3.422974193,5.757690732
128,-150.98,61.01,185,-0.132719603,3.593519531,5.441624599
129,-150.98,61.01,186,1.149161014,3.623758965,6.103222762
130,-150.98,61.01,187,0.168198494,3.67612699,5.63563907
131,-150.98,61.01,188,0.169029745,2.748544846,4.572667535
132,-150.98,61.01,189,-0.373800051,4.210840567,5.417355352
133,-150.98,61.01,190,-0.378803559,2.240324439,3.364715774
134,-150.98,61.01,191,-0.392941549,2.560197367,4.119735655
135,-150.98,61.01,192,0.438375829,1.991846709,4.566107815
136,-150.98,61.01,193,0.052902112,2.044531381,4.341393252
137,-150.98,61.01,194,-0.44243179,3.159696221,5.241717108
138,-150.98,61.01,195,0.420138688,2.235417333,3.332702798
139,-150.98,61.01,196,0.003953669,5.107245796,7.636247112
140,-150.98,61.01,197,-0.553228266,3.169316659,5.52552559
141,-150.98,61.01,198,-0.038573804,3.765809059,5.924168857
142,-150.98,61.01,199,1.383444454,5.306493695,7.514785638
143,-150.98,61.01,200,#SPILL!,6.216252693,8.732905781
144,-150.98,61.01,201,0.241632375,4.096890016,6.767264688
145,-150.98,61.01,202,-0.356465379,3.230142751,4.48458118
146,-150.98,61.01,203,-0.154299148,3.596476613,4.460332515
147,-150.98,61.01,204,-0.015105863,2.074981368,4.140531403
148,-150.98,61.01,205,-0.493251206,2.561170718,4.358006832
149,-150.98,61.01,206,-1.708572646,5.874995798,12.64457717
150,-150.98,61.01,207,1.058791046,8.581380306,13.56662072
151,-150.98,61.01,208,0.412276662,2.234528907,4.504433003
152,-150.98,61.01,209,-0.401797479,3.993444727,6.680302432
153,-150.98,61.01,210,-0.045122628,1.958497981,4.449835889
154,-150.98,61.01,211,0.078405157,2.677405665,4.79485749
155,-150.98,61.01,212,-0.823448403,3.075978125,4.974511954
156,-150.98,61.01,213,0.038376586,2.410378606,4.129904492
157,-150.98,61.01,214,-0.258976578,2.463339648,3.890234215
158,-150.98,61.01,215,-0.204032709,2.512150346,4.400828042
159,-150.98,61.01,216,0.983587997,3.930466174,6.340376307
160,-150.98,61.01,217,0.64526708,5.716281845,7.552730015
161,-150.98,61.01,218,0.745044588,4.721191956,6.616665178
162,-150.98,61.01,219,0.84827681,7.475838418,13.16876167
163,-150.98,61.01,220,-3.202086093,11.20582744,12.77199512
164,-150.98,61.01,221,2.202157467,6.843176409,10.55741433
165,-150.98,61.01,222,-0.703782977,4.505436566,5.753906835
166,-150.98,61.01,223,0.159702912,5.181927434,6.577936148
167,-150.98,61.01,224,0.12825883,4.941670207,6.120769569
168,-150.98,61.01,225,0.641090069,1.67751826,3.102197539
169,-150.98,61.01,226,-0.105331909,1.404869342,2.361164425
170,-150.98,61.01,227,0.102951876,1.12775072,2.120178749
171,-150.98,61.01,228,-0.195912745,4.216579653,6.732973969
172,-150.98,61.01,229,-0.149062517,4.502002202,8.115357767
173,-150.98,61.01,230,-0.066786168,4.439497501,6.08985122
174,-150.98,61.01,231,0.187779695,4.558070913,6.065617218
