tag-local-identifier,Breeding-site,Capture-year,timestamp,location-long,location-lat,height-above-ellipsoid,individual-taxon-canonical-name,utm-easting,utm-northing,utm-zone
233823,King_Salmon,2022,5-Jul-22,-122.1445007,37.6439934,-27,Limnodromus griseus,575472.9203,4166660.691,10N
233823,King_Salmon,2022,7-Jul-22,-122.0525665,37.4925194,-24,Limnodromus griseus,583753.0696,4149932.92,10N
233823,King_Salmon,2022,9-Jul-22,-118.043816,33.6950645,-29,Limnodromus griseus,403260.7075,3728835.07,11N
233823,King_Salmon,2022,11-Jul-22,-114.014481,31.5171204,-27,Limnodromus griseus,783524.7183,3490777.824,11N
233823,King_Salmon,2022,13-Jul-22,-113.929047,31.5932026,-24,Limnodromus griseus,222066.3202,3499070.503,12N
233823,King_Salmon,2022,15-Jul-22,-113.936089,31.6410503,-23,Limnodromus griseus,221540.5275,3504394.84,12N
233823,King_Salmon,2022,17-Jul-22,-113.938698,31.6295547,-22,Limnodromus griseus,221258.6634,3503126.616,12N
233823,King_Salmon,2022,19-Jul-22,-113.931892,31.6104317,-18,Limnodromus griseus,221847.535,3500988.478,12N
233823,King_Salmon,2022,21-Jul-22,-113.929642,31.59305,-24,Limnodromus griseus,222009.3853,3499055.094,12N
233823,King_Salmon,2022,23-Jul-22,-113.928566,31.5948162,-10,Limnodromus griseus,222116.7759,3499248.23,12N
233823,King_Salmon,2022,25-Jul-22,-113.930305,31.5919743,-24,Limnodromus griseus,221943.2499,3498937.485,12N
233823,King_Salmon,2022,27-Jul-22,-113.929794,31.5915394,-30,Limnodromus griseus,221990.4648,3498887.954,12N
233823,King_Salmon,2022,29-Jul-22,-113.931328,31.6064644,-29,Limnodromus griseus,221889.2554,3500547.061,12N
233823,King_Salmon,2022,31-Jul-22,-113.932762,31.6108932,-24,Limnodromus griseus,221766.3386,3501041.876,12N
233823,King_Salmon,2022,2-Aug-22,-113.934631,31.6133251,-26,Limnodromus griseus,221596.2017,3501316.342,12N
233823,King_Salmon,2022,2-Aug-22,-113.934631,31.6133251,-26,Limnodromus griseus,221596.2017,3501316.342,12N
233823,King_Salmon,2022,4-Aug-22,-113.927155,31.6071815,-25,Limnodromus griseus,222287.4579,3500615.967,12N
233823,King_Salmon,2022,6-Aug-22,-113.929893,31.5927944,-18,Limnodromus griseus,221984.7987,3499027.386,12N
233823,King_Salmon,2022,8-Aug-22,-113.920753,31.5917435,-39,Limnodromus griseus,222849.3128,3498887.614,12N
233823,King_Salmon,2022,10-Aug-22,-113.922035,31.5950985,-26,Limnodromus griseus,222737.5654,3499262.939,12N
233823,King_Salmon,2022,12-Aug-22,-113.932686,31.6129913,-23,Limnodromus griseus,221779.7998,3501274.365,12N
233823,King_Salmon,2022,14-Aug-22,-113.935837,31.6410751,-23,Limnodromus griseus,221564.5107,3504396.947,12N
233823,King_Salmon,2022,16-Aug-22,-113.93425,31.6150398,-24,Limnodromus griseus,221637.4704,3501505.534,12N
233823,King_Salmon,2022,18-Aug-22,-113.934044,31.6065407,-21,Limnodromus griseus,221631.6991,3500562.444,12N
233823,King_Salmon,2022,18-Aug-22,-113.934044,31.6065407,-21,Limnodromus griseus,221631.6991,3500562.444,12N
233823,King_Salmon,2022,20-Aug-22,-113.93084,31.6002693,-26,Limnodromus griseus,221917.1398,3499858.773,12N
233823,King_Salmon,2022,20-Aug-22,-113.93084,31.6002693,-26,Limnodromus griseus,221917.1398,3499858.773,12N
233823,King_Salmon,2022,22-Aug-22,-113.91584,31.5875969,-25,Limnodromus griseus,223303.4212,3498415.298,12N
233823,King_Salmon,2022,24-Aug-22,-113.92897,31.5899258,-20,Limnodromus griseus,222063.8892,3498706.907,12N
233823,King_Salmon,2022,26-Aug-22,-113.928207,31.5926151,-29,Limnodromus griseus,222144.3124,3499003.212,12N
233823,King_Salmon,2022,28-Aug-22,-113.932709,31.611124,-26,Limnodromus griseus,221772.056,3501067.337,12N
233823,King_Salmon,2022,30-Aug-22,-113.934685,31.6172161,-23,Limnodromus griseus,221602.6734,3501747.999,12N
233823,King_Salmon,2022,1-Sep-22,-113.935448,31.61166,1,Limnodromus griseus,221513.7,3501133.764,12N
233823,King_Salmon,2022,3-Sep-22,-113.92897,31.604826,-23,Limnodromus griseus,222108.1878,3500359.357,12N
233823,King_Salmon,2022,5-Sep-22,-113.928284,31.5978374,-28,Limnodromus griseus,222152.5244,3499582.567,12N
233823,King_Salmon,2022,7-Sep-22,-113.921295,31.5940475,-30,Limnodromus griseus,222804.693,3499144.504,12N
233823,King_Salmon,2022,9-Sep-22,-113.930634,31.592308,-29,Limnodromus griseus,221913.0113,3498975.33,12N
233823,King_Salmon,2022,11-Sep-22,-113.932556,31.6102524,-19,Limnodromus griseus,221783.9815,3500970.285,12N
233823,King_Salmon,2022,13-Sep-22,-113.933174,31.6119423,-18,Limnodromus griseus,221730.361,3501159.273,12N
233823,King_Salmon,2022,15-Sep-22,-113.927177,31.6076927,-19,Limnodromus griseus,222286.8891,3500672.716,12N
233823,King_Salmon,2022,17-Sep-22,-113.927895,31.5998077,-27,Limnodromus griseus,222195.3047,3499800.086,12N
233817,King_Salmon,2022,5-Jun-22,-156.7088013,58.7091064,40,Limnodromus griseus,632726.9312,6509929.837,4N
233817,King_Salmon,2022,10-Jun-22,-156.7088013,58.709671,42,Limnodromus griseus,632724.7826,6509992.68,4N
233817,King_Salmon,2022,15-Jun-22,-156.7087708,58.7091331,42,Limnodromus griseus,632728.596,6509932.869,4N
233817,King_Salmon,2022,20-Jun-22,-156.7304535,58.7205238,42,Limnodromus griseus,631429.9023,6511157.984,4N
233817,King_Salmon,2022,25-Jun-22,-156.7137451,58.7236481,40,Limnodromus griseus,632385.3876,6511538.62,4N
233817,King_Salmon,2022,30-Jun-22,-156.7302551,58.7204208,39,Limnodromus griseus,631441.7772,6511146.908,4N
233817,King_Salmon,2022,1-Jul-22,-156.7291565,58.7199097,37,Limnodromus griseus,631507.3102,6511092.175,4N
233817,King_Salmon,2022,3-Jul-22,-156.7302246,58.7204475,37,Limnodromus griseus,631443.4424,6511149.94,4N
233817,King_Salmon,2022,5-Jul-22,-142.8343201,49.2754555,1297,Limnodromus griseus,366577.9884,5459696.44,7N
233817,King_Salmon,2022,7-Jul-22,-123.8762589,40.7041168,1363,Limnodromus griseus,425976.2773,4506281.228,10N
233817,King_Salmon,2022,9-Jul-22,-122.216232,37.7471619,-29,Limnodromus griseus,569048.8653,4178051.836,10N
233817,King_Salmon,2022,11-Jul-22,-122.216919,37.7470856,-21,Limnodromus griseus,568988.4114,4178042.864,10N
233817,King_Salmon,2022,13-Jul-22,-122.215332,37.746521,-20,Limnodromus griseus,569128.7514,4177981.392,10N
233817,King_Salmon,2022,15-Jul-22,-122.215408,37.7442436,-21,Limnodromus griseus,569124.174,4177728.659,10N
233817,King_Salmon,2022,17-Jul-22,-122.216331,37.7468796,-22,Limnodromus griseus,569040.4056,4178020.442,10N
233817,King_Salmon,2022,19-Jul-22,-117.097847,32.6181488,-22,Limnodromus griseus,490820.3692,3608960.403,11N
233817,King_Salmon,2022,21-Jul-22,-112.195824,28.9739132,-27,Limnodromus griseus,383493.0686,3205684.436,12N
233817,King_Salmon,2022,23-Jul-22,-112.198128,28.9735031,-27,Limnodromus griseus,383268.1163,3205641.267,12N
233817,King_Salmon,2022,25-Jul-22,-112.195442,28.9736328,-32,Limnodromus griseus,383529.975,3205652.99,12N
233817,King_Salmon,2022,27-Jul-22,-111.907646,28.8271751,-26,Limnodromus griseus,411446.6924,3189176.558,12N
233817,King_Salmon,2022,29-Jul-22,-111.906677,28.8270473,-24,Limnodromus griseus,411541.1279,3189161.677,12N
233817,King_Salmon,2022,29-Jul-22,-111.906677,28.8270473,-24,Limnodromus griseus,411541.1279,3189161.677,12N
233817,King_Salmon,2022,31-Jul-22,-111.907188,28.8273544,-28,Limnodromus griseus,411491.5303,3189196.083,12N
233817,King_Salmon,2022,31-Jul-22,-111.907188,28.8273544,-28,Limnodromus griseus,411491.5303,3189196.083,12N
233817,King_Salmon,2022,2-Aug-22,-111.908211,28.8269176,-30,Limnodromus griseus,411391.3484,3189148.449,12N
233817,King_Salmon,2022,4-Aug-22,-107.944176,24.7619705,-18,Limnodromus griseus,202248.5909,2741797.617,13N
233817,King_Salmon,2022,6-Aug-22,-107.652412,24.5047932,-19,Limnodromus griseus,231219.6694,2712697.691,13N
233817,King_Salmon,2022,8-Aug-22,-107.670647,24.528244,-11,Limnodromus griseus,229421.2512,2715331.706,13N
233817,King_Salmon,2022,10-Aug-22,-107.659813,24.5505409,-24,Limnodromus griseus,230567.0945,2717780.99,13N
233817,King_Salmon,2022,12-Aug-22,-107.662857,24.5321865,-17,Limnodromus griseus,230219.3119,2715753.268,13N
233817,King_Salmon,2022,14-Aug-22,-107.656746,24.534029,-18,Limnodromus griseus,230842.6591,2715945.47,13N
233817,King_Salmon,2022,14-Aug-22,-107.656746,24.534029,-18,Limnodromus griseus,230842.6591,2715945.47,13N
233817,King_Salmon,2022,16-Aug-22,-107.656975,24.5400696,-18,Limnodromus griseus,230832.3466,2716615.218,13N
233817,King_Salmon,2022,16-Aug-22,-107.656975,24.5400696,-18,Limnodromus griseus,230832.3466,2716615.218,13N
233817,King_Salmon,2022,18-Aug-22,-107.666496,24.5419388,-7,Limnodromus griseus,229871.3594,2716840.959,13N
233817,King_Salmon,2022,20-Aug-22,-107.911255,24.7649403,-20,Limnodromus griseus,205586.863,2742055.365,13N
233817,King_Salmon,2022,22-Aug-22,-107.968086,24.7571068,-1,Limnodromus griseus,199817.4036,2741310.943,13N
233817,King_Salmon,2022,24-Aug-22,-107.967888,24.7569542,-17,Limnodromus griseus,199837.0732,2741293.597,13N
233817,King_Salmon,2022,24-Aug-22,-107.967888,24.7569542,-17,Limnodromus griseus,199837.0732,2741293.597,13N
233817,King_Salmon,2022,26-Aug-22,-107.914505,24.7670135,-6,Limnodromus griseus,205262.9077,2742292.124,13N
233817,King_Salmon,2022,28-Aug-22,-107.967812,24.7572346,-15,Limnodromus griseus,199845.4387,2741324.505,13N
233817,King_Salmon,2022,3-Sep-22,-107.967934,24.7571068,-27,Limnodromus griseus,199832.7853,2741310.609,13N
233817,King_Salmon,2022,5-Sep-22,-107.966476,24.7604351,-21,Limnodromus griseus,199988.334,2741676.256,13N
233812,Beluga,2022,10-Jun-22,-151.0220642,61.2099953,34,Limnodromus griseus,606260.0458,6787785.592,5N
233812,Beluga,2022,15-Jun-22,-151.0181732,61.2113533,45,Limnodromus griseus,606464.4504,6787943.14,5N
233812,Beluga,2022,20-Jun-22,-150.9458618,61.2221832,10,Limnodromus griseus,610310.26,6789268.977,5N
233812,Beluga,2022,25-Jun-22,-150.4843445,61.2573586,46,Limnodromus griseus,634935.8315,6794051.572,5N
233812,Beluga,2022,30-Jun-22,-150.4850311,61.2575607,16,Limnodromus griseus,634898.1496,6794072.654,5N
233812,Beluga,2022,1-Jul-22,-150.4837189,61.2575378,20,Limnodromus griseus,634968.6074,6794072.815,5N
233812,Beluga,2022,3-Jul-22,-150.4834137,61.2571526,12,Limnodromus griseus,634986.6247,6794030.56,5N
