,id,date,u,v,u.se,v.se,x.se,y.se,s,s.se,geometry,dist_to_next_m,dis_to_next_km,timetilnext,lon,lat,
42,181624,8/13/22,7.669031026,-8.873120428,6.359385946,6.359383266,152.6234962,152.6234319,11.72797758,NA,c(-112.891981268272, 30.0718640914322),241928.7472,241.9287472,24,-112.8919813,30.07186409
43,181624,8/14/22,6.947046505,-9.031328284,6.359238741,6.35923606,0.003702836,0.003702836,11.39413646,NA,c(-111.394228135073, 28.3638600340238),239153.8913,239.1538913,24,-111.3942281,28.36386003
44,181624,8/15/22,5.132673933,-5.55476471,6.443008008,6.443000693,154.6304025,154.6302269,7.563095615,NA,c(-110.287641341547, 27.2992430817502),160790.3264,160.7903264,24,-110.2876413,27.29924308
45,181624,8/16/22,3.450268451,-3.118883958,6.442858866,6.442851552,0.003713975,0.003713974,4.650998766,NA,c(-109.543778409478, 26.6969025903024),99586.80066,99.58680066,24,-109.5437784,26.69690259
46,181624,8/17/22,1.899833114,-1.723710118,11.55314637,11.55313463,277.2723036,277.272022,2.565280937,NA,c(-109.134178751031, 26.3626130917158),55156.45013,55.15645013,24,-109.1341788,26.36261309
47,181624,8/18/22,0.686520784,-0.631347565,11.2248058,11.22484884,453.486835,453.4877749,0.932689946,NA,c(-108.986167843804, 26.2399275701889),20094.62319,20.09462319,24,-108.9861678,26.23992757
48,181624,8/19/22,-0.189664636,0.158200196,9.954275714,9.954311288,522.4445537,522.4474642,0.246981733,NA,c(-109.027058717803, 26.2706818686722),5321.913797,5.321913797,24,-109.0270587,26.27068187
49,181624,8/20/22,-0.728723148,0.644933166,9.803426241,9.803420976,468.3867753,468.389869,0.97312703,NA,c(-109.18416827182, 26.3959723369889),20957.85326,20.95785326,24,-109.1841683,26.39597234
50,181624,8/21/22,-0.930654751,0.828851345,11.12475724,11.1248034,295.9936174,295.9951672,1.24623947,NA,c(-109.384813404649, 26.5567907267245),26806.80074,26.80680074,24,-109.3848134,26.55679073
51,181624,8/22/22,-0.795459444,0.709954732,12.33292465,12.33298922,0.004725125,0.004725138,1.066204225,NA,c(-109.556311015081, 26.6943591087484),22904.3842,22.9043842,24,-109.556311,26.69435911
