id,date,lc,lon,lat
233811_Beluga,2022-08-22 00:00:00,G,-109.359856,25.8091908
233811_Beluga,2022-08-24 00:00:00,G,-109.360268,25.8116474
233811_Beluga,2022-08-26 00:00:00,G,-109.359604,25.8118782
233811_Beluga,2022-08-28 00:00:00,G,-109.367439,25.7987194
233811_Beluga,2022-08-30 00:00:00,G,-109.357658,25.8090115
233811_Beluga,2022-09-01 00:00:00,G,-109.353539,25.8208637
233811_Beluga,2022-09-03 00:00:00,G,-109.351997,25.8212223
233811_Beluga,2022-09-07 00:00:00,G,-109.359528,25.8262653
233811_Beluga,2022-09-09 00:00:00,G,-109.360603,25.8103161
233811_Beluga,2022-09-11 00:00:00,G,-109.359116,25.8119545
233811_Beluga,2022-09-13 00:00:00,G,-109.361931,25.8117752
233812_Beluga,2022-06-10 00:00:00,G,-151.0220642,61.2099953
233812_Beluga,2022-06-15 00:00:00,G,-151.0181732,61.2113533
233812_Beluga,2022-06-20 00:00:00,G,-150.9458618,61.2221832
233812_Beluga,2022-06-25 00:00:00,G,-150.4843445,61.2573586
233812_Beluga,2022-06-30 00:00:00,G,-150.4850311,61.2575607
233812_Beluga,2022-07-01 00:00:00,G,-150.4837189,61.2575378
233812_Beluga,2022-07-03 00:00:00,G,-150.4834137,61.2571526
233812_Beluga,2022-07-05 00:00:00,G,-150.4874115,61.257946
233812_Beluga,2022-07-09 00:00:00,G,-150.4871826,61.257946
233812_Beluga,2022-07-11 00:00:00,G,-150.484955,61.2599411
233812_Beluga,2022-07-13 00:00:00,G,-150.483063,61.2587395
233812_Beluga,2022-07-15 00:00:00,G,-147.606003,60.9575539
233812_Beluga,2022-07-17 00:00:00,G,-145.360123,60.2842484
233812_Beluga,2022-07-19 00:00:00,G,-145.269257,60.342411
233812_Beluga,2022-07-21 00:00:00,G,-145.329773,60.2831993
233812_Beluga,2022-07-23 00:00:00,G,-145.330368,60.2818451
233812_Beluga,2022-07-25 00:00:00,G,-144.22731,60.1052284
233812_Beluga,2022-07-27 00:00:00,G,-144.178497,60.1341057
233812_Beluga,2022-07-29 00:00:00,G,-145.665543,60.3630981
233812_Beluga,2022-07-31 00:00:00,G,-145.269089,60.342617
233812_Beluga,2022-08-02 00:00:00,G,-145.431,60.3812981
233812_Beluga,2022-08-04 00:00:00,G,-145.430878,60.3826065
233812_Beluga,2022-08-06 00:00:00,G,-145.431381,60.3829117
233813_Beluga,2022-06-10 00:00:00,G,-151.0160828,61.216526
233813_Beluga,2022-06-15 00:00:00,G,-151.0161743,61.2163963
233813_Beluga,2022-06-20 00:00:00,G,-151.0158691,61.2167282
233813_Beluga,2022-06-25 00:00:00,G,-150.9497681,61.195713
233813_Beluga,2022-06-30 00:00:00,G,-151.0314941,61.2091789
233813_Beluga,2022-07-01 00:00:00,G,-151.0453949,61.2058258
233813_Beluga,2022-07-03 00:00:00,G,-151.0218353,61.2128639
233813_Beluga,2022-07-05 00:00:00,G,-151.0703735,61.1756172
233813_Beluga,2022-07-07 00:00:00,G,-151.0318909,61.2125816
233813_Beluga,2022-07-09 00:00:00,G,-151.0333557,61.2115593
233813_Beluga,2022-07-11 00:00:00,G,-150.9958038,61.1841393
233813_Beluga,2022-07-13 00:00:00,G,-151.0410919,61.1537552
233813_Beluga,2022-07-15 00:00:00,G,-151.026108,61.2114296
233813_Beluga,2022-07-17 00:00:00,G,-150.994598,61.178894
233813_Beluga,2022-07-19 00:00:00,G,-151.025497,61.2110977
233813_Beluga,2022-07-21 00:00:00,G,-150.994629,61.1774597
233813_Beluga,2022-07-23 00:00:00,G,-150.950363,61.1980171
233813_Beluga,2022-07-25 00:00:00,G,-150.990326,61.1812744
233813_Beluga,2022-07-27 00:00:00,G,-151.025848,61.2122765
233813_Beluga,2022-07-29 00:00:00,G,-150.991013,61.178688
233813_Beluga,2022-07-31 00:00:00,G,-150.990555,61.1792259
233813_Beluga,2022-08-04 00:00:00,G,-145.440063,60.3856773
233813_Beluga,2022-08-06 00:00:00,G,-145.456085,60.3929214
233813_Beluga,2022-08-08 00:00:00,G,-145.488525,60.4000626
233813_Beluga,2022-08-10 00:00:00,G,-145.458984,60.3684464
233813_Beluga,2022-08-12 00:00:00,G,-145.457428,60.3726196
233813_Beluga,2022-08-14 00:00:00,G,-145.45932,60.3891068
233813_Beluga,2022-08-16 00:00:00,G,-145.457428,60.3726196
233813_Beluga,2022-08-18 00:00:00,G,-145.457397,60.3726196
233813_Beluga,2022-08-20 00:00:00,G,-145.457504,60.372673
233813_Beluga,2022-08-22 00:00:00,G,-145.489365,60.4001656
233813_Beluga,2022-08-24 00:00:00,G,-144.884567,60.3204994
233813_Beluga,2022-08-26 00:00:00,G,-145.486481,60.4006004
233813_Beluga,2022-08-28 00:00:00,G,-119.194511,43.2516975
233813_Beluga,2022-09-07 00:00:00,G,-118.811378,43.2952461
233813_Beluga,2022-09-09 00:00:00,G,-118.792923,43.2988014
233813_Beluga,2022-09-11 00:00:00,G,-119.237389,43.2450676
233813_Beluga,2022-09-13 00:00:00,G,-119.261963,43.2606087
233813_Beluga,2022-09-15 00:00:00,G,-119.085175,43.2470131
233813_Beluga,2022-09-17 00:00:00,G,-114.389465,36.1287041
233813_Beluga,2022-09-19 00:00:00,G,-114.474022,36.1036148
233813_Beluga,2022-09-21 00:00:00,G,-114.473869,36.1038971
233813_Beluga,2022-09-23 00:00:00,G,-114.473846,36.1039238
233813_Beluga,2022-09-25 00:00:00,G,-112.313766,29.3374329
233813_Beluga,2022-09-27 00:00:00,G,-112.300606,29.3343353
233813_Beluga,2022-09-29 00:00:00,G,-112.30806,29.3296509
233815_King_Salmon,2022-06-05 00:00:00,G,-156.678772,58.682663
233815_King_Salmon,2022-06-10 00:00:00,G,-156.7088013,58.7091331
233815_King_Salmon,2022-06-15 00:00:00,G,-156.719574,58.7166061
233815_King_Salmon,2022-06-20 00:00:00,G,-156.7463531,58.7210884
233815_King_Salmon,2022-06-25 00:00:00,G,-156.7435455,58.7207794
233815_King_Salmon,2022-06-30 00:00:00,G,-156.7436371,58.7190666
233815_King_Salmon,2022-07-01 00:00:00,G,-156.7348938,58.7228546
233815_King_Salmon,2022-07-03 00:00:00,G,-156.849823,58.7716217
233815_King_Salmon,2022-07-05 00:00:00,G,-156.849823,58.7721863
233815_King_Salmon,2022-07-07 00:00:00,G,-156.848938,58.7674751
233815_King_Salmon,2022-07-09 00:00:00,G,-156.840973,58.7657585
233815_King_Salmon,2022-07-11 00:00:00,G,-156.848526,58.7665291
233815_King_Salmon,2022-07-13 00:00:00,G,-122.860916,38.0376701
233815_King_Salmon,2022-07-15 00:00:00,G,-117.104988,32.6097031
233815_King_Salmon,2022-07-17 00:00:00,G,-117.109879,32.6364784
233815_King_Salmon,2022-07-19 00:00:00,G,-117.111488,32.6374016
233815_King_Salmon,2022-07-21 00:00:00,G,-117.111206,32.6483841
233815_King_Salmon,2022-07-23 00:00:00,G,-117.10936,32.6488686
233815_King_Salmon,2022-07-25 00:00:00,G,-117.129486,32.6076279
233815_King_Salmon,2022-07-27 00:00:00,G,-117.097893,32.6180725
233815_King_Salmon,2022-07-29 00:00:00,G,-114.065269,27.6838779
233815_King_Salmon,2022-08-02 00:00:00,G,-114.073257,27.6776314
233815_King_Salmon,2022-08-04 00:00:00,G,-114.059433,27.6816521
233815_King_Salmon,2022-08-06 00:00:00,G,-114.057487,27.679142
233815_King_Salmon,2022-08-08 00:00:00,G,-114.059151,27.679987
233815_King_Salmon,2022-08-10 00:00:00,G,-114.063889,27.68713
233815_King_Salmon,2022-08-12 00:00:00,G,-114.040077,27.6846714
233815_King_Salmon,2022-08-14 00:00:00,G,-114.06015,27.6923256
233815_King_Salmon,2022-08-16 00:00:00,G,-114.079529,27.680397
233815_King_Salmon,2022-08-18 00:00:00,G,-114.07914,27.6803207
233815_King_Salmon,2022-08-20 00:00:00,G,-114.070389,27.6844921
233815_King_Salmon,2022-08-22 00:00:00,G,-114.064011,27.6872311
233815_King_Salmon,2022-08-24 00:00:00,G,-114.065834,27.6834431
233815_King_Salmon,2022-08-26 00:00:00,G,-114.065704,27.6832638
233815_King_Salmon,2022-08-28 00:00:00,G,-114.081367,27.6775551
233815_King_Salmon,2022-08-30 00:00:00,G,-114.064011,27.6837769
