event-id,visible,timestamp,location-long,location-lat,external-temperature,gps:fix-type-raw,height-above-ellipsoid,height-raw,import-marked-outlier,lotek:crc-status,lotek:crc-status-text,mortality-status,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,height-above-msl,ECMWF ERA5 PL U Wind,ECMWF ERA5 PL V Wind,ECMWF ERA5 PL Pressure Vertical Velocity
23370626594,TRUE,2022-07-31,-151.240891,61.2504463,,3D,115,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",106.3087285,-0.888706888,-0.021617397,-0.009392817
23370626596,TRUE,2022-08-04,-151.240768,61.2504463,,3D,114,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",105.3090878,NaN,NaN,NaN
23391318439,TRUE,2022-08-04,-151.240768,61.2504463,,3D,114,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",105.3090878,NaN,NaN,NaN
23404127960,TRUE,2022-08-06,-151.240921,61.2504463,,3D,114,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233814,129232035,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",105.3086409,0.965292217,3.286947567,-0.083953837
23404127961,TRUE,2022-08-08,-151.240952,61.2504463,,3D,113,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233814,129232035,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",104.3085504,1.62505473,7.877727667,-0.277614755
23357225720,TRUE,2022-07-27,-151.240875,61.2503929,,3D,112,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",103.3085204,NaN,NaN,NaN
23579119134,TRUE,2022-09-01,-151.240952,61.2504463,,3D,112,,FALSE,G,OK,,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",103.3085504,-1.106612277,1.209457762,-0.017996757
23651087104,TRUE,2022-09-01,-151.240952,61.2504463,,3D,112,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",103.3085504,-1.106612277,1.209457762,-0.017996757
23753207825,TRUE,2022-09-19,-151.240814,61.2504692,,3D,111,,FALSE,C,OK(corrected),,,gps,Limnodromus griseus,233810,129232018,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",102.3090627,NaN,NaN,NaN
23404127942,TRUE,2022-08-06,-145.456085,60.3929214,,3D,111,,FALSE,G,OK,,,gps,Limnodromus griseus,233813,129232034,"Fall movement of Short-billed dowitcher from the Alaska Peninsula and Cook Inlet, 2022 (USFWS & UMass)",97.96145591,3.151620588,3.012142318,-0.301627365
