tag-local-identifier,Breeding-site,Capture-year,timestamp,location-long,location-lat,height-above-ellipsoid,individual-taxon-canonical-name,utm-easting,utm-northing,utm-zone
233816,King_Salmon,2022,28-Aug-22,-109.82235,26.7876472,-20,Limnodromus griseus,617064.3652,2963457.823,12N
233816,King_Salmon,2022,20-Aug-22,-109.823753,26.787878,-18,Limnodromus griseus,616924.6516,2963482.097,12N
233816,King_Salmon,2022,31-Jul-22,-109.822655,26.787878,-20,Limnodromus griseus,617033.8073,2963483.108,12N
233816,King_Salmon,2022,14-Aug-22,-109.823502,26.7883129,-14,Limnodromus griseus,616949.1585,2963530.502,12N
233816,King_Salmon,2022,10-Aug-22,-109.811264,26.7901573,-22,Limnodromus griseus,618163.8635,2963746.126,12N
233816,King_Salmon,2022,17-Sep-22,-109.811699,26.7958908,-10,Limnodromus griseus,618114.6812,2964380.822,12N
233816,King_Salmon,2022,19-Sep-22,-109.803223,26.7963257,-22,Limnodromus griseus,618956.7974,2964436.904,12N
233816,King_Salmon,2022,7-Sep-22,-109.804787,26.8004475,-28,Limnodromus griseus,618797.0314,2964892.014,12N
233819,King_Salmon,2022,29-Sep-22,-110.140991,27.1291256,-5,Limnodromus griseus,585131.0549,3001028.238,12N
233819,King_Salmon,2022,21-Sep-22,-110.133827,27.1304569,-7,Limnodromus griseus,585840.0495,3001180.579,12N
233819,King_Salmon,2022,25-Sep-22,-110.260925,27.1555977,-7,Limnodromus griseus,573227.4643,3003884.875,12N
233819,King_Salmon,2022,19-Sep-22,-110.245361,27.1647625,-25,Limnodromus griseus,574763.4917,3004909.211,12N
233819,King_Salmon,2022,27-Sep-22,-110.245949,27.1670399,-21,Limnodromus griseus,574703.7196,3005161.123,12N
233819,King_Salmon,2022,23-Sep-22,-110.235741,27.1688328,-18,Limnodromus griseus,575713.85,3005365.837,12N
233816,King_Salmon,2022,25-Jul-22,-110.341133,27.1929989,-19,Limnodromus griseus,565258.4888,3007983.414,12N
233821,King_Salmon,2022,18-Aug-22,-110.459099,27.3152637,-23,Limnodromus griseus,553515.5908,3021470.301,12N
233821,King_Salmon,2022,20-Aug-22,-110.464294,27.3158779,-22,Limnodromus griseus,553001.3079,3021536.118,12N
233821,King_Salmon,2022,13-Sep-22,-110.460609,27.3181572,0,Limnodromus griseus,553364.8073,3021790.159,12N
233821,King_Salmon,2022,15-Sep-22,-110.461761,27.3184128,-17,Limnodromus griseus,553250.7098,3021817.979,12N
233821,King_Salmon,2022,3-Sep-22,-110.461014,27.3184643,-17,Limnodromus griseus,553324.591,3021824.003,12N
233821,King_Salmon,2022,1-Sep-22,-110.461708,27.3184891,-15,Limnodromus griseus,553255.9171,3021826.454,12N
233821,King_Salmon,2022,19-Sep-22,-110.462273,27.3186169,-27,Limnodromus griseus,553199.9569,3021840.369,12N
233821,King_Salmon,2022,12-Aug-22,-110.464859,27.3187447,-31,Limnodromus griseus,552944.0462,3021853.425,12N
233821,King_Salmon,2022,17-Sep-22,-110.461502,27.3187447,-18,Limnodromus griseus,553276.1759,3021854.854,12N
233821,King_Salmon,2022,14-Aug-22,-110.464806,27.3188992,-18,Limnodromus griseus,552949.2165,3021870.561,12N
233821,King_Salmon,2022,16-Aug-22,-110.464729,27.3192577,-18,Limnodromus griseus,552956.6643,3021910.304,12N
233821,King_Salmon,2022,26-Aug-22,-110.462219,27.3204861,-24,Limnodromus griseus,553204.4075,3022047.438,12N
233821,King_Salmon,2022,7-Sep-22,-110.458557,27.3217926,-28,Limnodromus griseus,553566.0795,3022193.721,12N
233821,King_Salmon,2022,11-Sep-22,-110.461861,27.3220215,-23,Limnodromus griseus,553239.093,3022217.662,12N
233821,King_Salmon,2022,30-Aug-22,-110.451057,27.3224316,-49,Limnodromus griseus,554307.772,3022267.742,12N
233821,King_Salmon,2022,24-Aug-22,-110.451881,27.3262711,-15,Limnodromus griseus,554224.3833,3022692.675,12N
233821,King_Salmon,2022,22-Aug-22,-110.449776,27.3263226,-24,Limnodromus griseus,554432.6056,3022699.296,12N
233821,King_Salmon,2022,9-Sep-22,-110.451035,27.3267078,-20,Limnodromus griseus,554307.8652,3022741.415,12N
233821,King_Salmon,2022,5-Sep-22,-110.454262,27.3273468,-26,Limnodromus griseus,553988.3103,3022810.795,12N
233819,King_Salmon,2022,17-Sep-22,-110.55835,27.4519176,-23,Limnodromus griseus,543642.1159,3036568.429,12N
233815,King_Salmon,2022,5-Sep-22,-114.060402,27.671257,-33,Limnodromus griseus,789973.937,3064243.157,11N
233815,King_Salmon,2022,25-Sep-22,-114.080215,27.6758919,-28,Limnodromus griseus,788006.3589,3064710.472,11N
233815,King_Salmon,2022,28-Aug-22,-114.081367,27.6775551,-19,Limnodromus griseus,787888.3037,3064892.149,11N
233815,King_Salmon,2022,2-Aug-22,-114.073257,27.6776314,-36,Limnodromus griseus,788688.4553,3064919.587,11N
233815,King_Salmon,2022,27-Sep-22,-114.074379,27.6787319,-27,Limnodromus griseus,788574.8322,3065038.952,11N
181625,Beluga,2022,1-Jul-22,-150.9510498,61.2188797,.,Limnodromus griseus,610043.2551,6788892.386,5N
233815,King_Salmon,2022,6-Aug-22,-114.057487,27.679142,-3,Limnodromus griseus,790240.7611,3065124.102,11N
